acronym,definition
3922,Form 3922: Transfer of Stock Acquired Through An Employee Stock Purchase Plan Under Section 423(c)
3949-A,Form 3949-A: Information Referral
3953,Publ 3953: Questions and Answers About Tax Court Proceedings for Determination of Employment Status Under I.R.C. 7436
3966,Publ 3966: Living and Working with Disabilities
3995,Publ 3995: Recognizing Illegal Tax Avoidance Schemes
3998,Publ 3998: Choosing a Retirement Solution for Your Small Business
4003,Publ 4003: QuickAlerts Messaging System Brochure
4011,Publ 4011: VITA/TCE Foreign Student and Scholar Volunteer Resource Guide
4012,Publ 4012: VITA/TCE Volunteer Resource Guide
4019,"Publ 4019: Third Party Authorization, Levels of Authority"
4029,Form 4029: Application for Exemption From Social Security and Medicare Taxes and Waiver of Benefits
4038,Publ 4038: Individual and Business Tax Return Processing Migration Maps
4053 ,Publ 4053 : Your Civil Rights are Protected
4053-C ,Publ 4053-C : Your Civil Rights are Protected for IRS Conducted Programs
4054,Publ 4054: National Taxpayer Advocate Objectives Report to Congress - Fiscal Year 2021
4054-C,Publ 4054-C: National Taxpayer Advocate's Objectives Report to Congress Volume 2
4054-D,Publ 4054-D: National Taxpayer Advocate's Special Report to Congress Volume 3 (Earned Income Tax Credit)
4077,Publ 4077: Tax Exempt 501(C)(3) Bonds Compliance Guide
4078,Publ 4078: Tax Exempt Private Activity Bonds Compliance Guide
4079,Publ 4079: Tax-Exempt Governmental Bonds
4089,Form 4089: Notice of Deficiency - Waiver
4118,Publ 4118: Lots of Benefits-Retirement Plans Life Cycle
4128,Publ 4128: Tax Impact of Job Loss
4134,Publ 4134: Low Income Taxpayer Clinic List
4136,Form 4136: Credit For Federal Tax Paid On Fuels
4137,Form 4137: Social Security and Medicare Tax On Unreported Tip Income
4152,Publ 4152: Electronic Toolkit for Nonresident Alien VITA/TCE Sites
4163,Publ 4163: Modernized e-File (MeF) Information for Authorized IRS e-file Providers for Business Returns
4164,Publ 4164: Modernized e-file Guide for Software Developers and Transmitters
4167,Publ 4167: Appeals - Introduction to Alternative Dispute Resolution
4169,Publ 4169: EFTPS Tax Professional Guide
4190,Publ 4190: Life Cycle Series: Tax Guide for the Retiree
4194,Publ 4194: General EITC Requirements Poster
4214,Publ 4214: Products and Services List - Speaking Taxes in Your Language
4215,Publ 4215: Political Organization Filing and Disclosure Search Process User Guide
4216,Publ 4216: Political Organization Filing and Disclosure Search Process User Guide
4219,"Form 4219: Statement of Liability of Lender, Surety, or Other Person for Withholding Taxes"
4220,Publ 4220: Applying for 501(c)(3) Tax-Exempt Status
4221-NC,Publ 4221-NC: Compliance Guide for Tax Exempt Organizations (other than 501(c)(3) Public Charities and Private Foundations)
4221-PC,Publ 4221-PC: Compliance Guide For 501(c)(3) Public Charities
4221-PF,Publ 4221-PF: Compliance Guide for 501(c)(3) Private Foundations
4222,Publ 4222: 401(k) Plans for Small Businesses
4224,Publ 4224: Retirement Plans Correction Programs
4225,Publ 4225: Coming Together for Stronger Communities
4225-A,Publ 4225-A: How Can the IRS Serve Your Cause?
4225-B,Publ 4225-B: Do you like helping others? Volunteer for VITA/TCE
4225-B ,Publ 4225-B : Do you like helping others? Volunteer for VITA/TCE
4227,Publ 4227: Overview of the Appeals Process Brochure
4235,Publ 4235: Collection Advisory Group Numbers and Addresses
4245,Publ 4245: Power of Attorney Preparation Guide
4248,Publ 4248: Pre-Enrolled EIN Brochure
4255,Form 4255: Recapture of Investment Credit
4261,Publ 4261: Do You Have a Foreign Financial Account?
4267,Publ 4267: Indian Tribal Governments News
4268,Publ 4268: Employment Tax For Indian Tribal Governments
4269,Publ 4269: I Speak-Language Identification Flashcard
4275,Publ 4275: EFTPS Express Enrollment for New Businesses
4284,Publ 4284: Simple IRA Retirement Plan Checklist
4285,Publ 4285: Simplified Employee Pension (SEP) Checklist
4286,Publ 4286: Simplified Employee Pension Plan (SARSEP) Checklist
4298,Publ 4298: A Federal Tax Refund may be waiting for you
4298 ,Publ 4298 : Life's a Little Easier With EITC (Poster)
4299,"Publ 4299: Privacy, Confidentiality, and Civil Rights - A Public Trust"
4302,Publ 4302: A Charity's Guide To Vehicle Donations
4303,Publ 4303: A Donor's Guide To Vehicle Donations
4320,Publ 4320: EFTPS Tool Kit Order Form
4324,Publ 4324: Employee Plans Examination Flowchart
4327 ,Publ 4327 : ITIN Bilingual Brochure
433-A,Form 433-A: Collection Information Statement for Wage Earners and Self-Employed Individuals
433-B,Form 433-B: Collection Information Statement for Businesses
433-D,Form 433-D: Installment Agreement
433-F,Form 433-F: Collection Information Statement
433-H,Form 433-H: Installment Agreement Request and Collection Information Statement
4333,Publ 4333: SEP Retirement Plans for Small Businesses
4334,Publ 4334: SIMPLE IRA Plans for Small Businesses
4336,Publ 4336: Salary Reduction Simplified Employee Pension (SARSEP) Brochure
4341,Publ 4341: Information Guide for Employers Filing Form 941 or Form 944 - Frequently Asked Questions About the Reclassification of Workers as Employees
4344,Publ 4344: Advisory Committee on Tax Exempt and Government Entities (ACT) Report of Recommendations
4345,Publ 4345: Settlements-Taxability
4361,"Form 4361: Application for Exemption From Self-Employment Tax for Use By Ministers, Members of Religious Orders and Christian Science Practitioners"
4386,"Publ 4386: Compliance Checks: Examination, Audit or Compliance Check"
4390,Publ 4390: VITA/TCE Computer Loan Program
4391,Publ 4391: Privacy Act Notice
4393 ,Publ 4393 : Become an IRS ITIN Acceptance Agent
4396-A,Publ 4396-A: Partner Resource Guide
4407,Publ 4407: Salary Reduction Simplified Employee Pension (SARSEP)
4418,Publ 4418: Federal Payment Levy Program
4419,Form 4419: Application for Filing Information Returns Electronically (FIRE)
4419,Publ 4419: Mortgage Verification Process
4421,Form 4421: Declarations - Executor's Commissioner's and Attorney's Fees
4422,Form 4422: Application for Certificate Discharging Property Subject To Estate Tax Lien
4423,Form 4423: Application for Filing Affordable Care Act (ACA) Information Returns
4436,"Publ 4436: General Rules and Specifications for Substitute Form 941, Schedule B (Form 941), Schedule D (Form 941), and Schedule R (Form 941)"
4450,Publ 4450: IRS Congressional Budget Justification & Annual Performance Report and Plan
4454,Publ 4454: Your Civil Rights Are Protected
4461,Form 4461: Application for Approval of Master or Prototype or Volume Submitter Defined Contribution Plans
4461-A,Form 4461-A: Application for Approval of Master or Prototype or Volume Submitter Defined Benefit Plan
4461-B,Form 4461-B: Application for Approval of Master or Prototype or Volume Submitter Plans
4465-A,Publ 4465-A: IRS Disclosure Awareness: Guide for Contractors
4466,Form 4466: Corporation Application for Quick Refund of Overpayment of Estimated Tax
4473,Publ 4473: IRS Computer Loan Program - Welcome Package
4482,Publ 4482: 403(b) Tax-Sheltered Annuity for Participants
4483,Publ 4483: 403(b) Tax-Sheltered Annuity Plan for Sponsors
4484,Publ 4484: Choose a Retirement Plan for Employees of Tax-Exempt Government Entities
4485,Publ 4485: Guide for the Certification of State FUTA Credits
4491,Publ 4491: VITA/TCE Training Guide
4491-X,Publ 4491-X: VITA/TCE Training Supplement
4506,Form 4506: Request for Copy of Tax Return
4506-A,Form 4506-A: Request for Public Inspection or Copy of Exempt or Political Organization IRS Form
4506-C,Form 4506-C: IVES Request for Transcript of Tax Return
4506-F,Form 4506-F: Request for Copy of Fraudulent Tax Return
4506-T,Form 4506-T: Request for Transcript of Tax Return
4506T-EZ,Form 4506T-EZ: Short Form Request for Individual Tax Return Transcript
4512 ,Publ 4512 : Getting Your Taxes Done--Visiting a Free Tax Preparation Site
4512-A ,"Publ 4512-A : Getting Your Taxes Done--Obtaining Prior Year Returns, Transcripts and Social Security Numbers"
4512-B ,Publ 4512-B : Getting Your Taxes Done--Obtaining Your W-2's
4512-C ,Publ 4512-C : Getting Your Taxes Done--Determining If You Have A Tax Deductible Casualty Loss
4518,Publ 4518: What You Can Expect When the IRS Assigns Your Account to a Private Collection Agency
4520,Publ 4520: Acceptance Agents Guide for Individual Taxpayer Identification Number (ITIN)
4524,Publ 4524: Taxes. Security. Together. Security Awareness For Taxpayers
4528,Publ 4528: Making an Administrative Wrongful Levy Claim Under Internal Revenue Code (IRC) Section 6343(b)
4530,Publ 4530: Designated Roth Accounts Under a 401(k) or 4039(b) Plan - Frequently Asked Questions
4531,Publ 4531: 401(k) Plan Checklist
4539,Publ 4539: Fast Track Settlement: A process for prompt resolution of Large & Mid-Size Business Tax Issues
4541,Publ 4541: Splitting Federal Income Tax Refunds - Information for U.S. Financial Institutions
4546,Publ 4546: 403(b) Plan Checklist
4555-E,Publ 4555-E: VITA/TCE e-instructor guidance
4557,Publ 4557: Safeguarding Taxpayer Data: A Guide for Your Business
4562,Form 4562: Depreciation and Amortization (Including Information on Listed Property)
4563,Form 4563: Exclusion of Income for Bona Fide Residents of American Samoa
4573,Publ 4573: Group Exemptions
4576,Publ 4576: Orientation to the Penalty Appeals Process
4587,Publ 4587: Payroll Deduction IRAs for Small Businesses
4591,Publ 4591: Small Business Federal Tax Responsibilities
4600,Publ 4600: Safeguarding Taxpayer Information Quick Reference Guide for Businesses
4604 ,"Publ 4604 : Need An IRS Form, Publication, or Instruction?"
461,Form 461: Limitation on Business Losses
463,"Publ 463: Travel, Gift, and Car Expenses"
4638,Publ 4638: IRS Jobs - How To Apply
4639,Publ 4639: Disclosure & Privacy Law Reference Guide
4669,Form 4669: Statement of Payments Received
4670,Form 4670: Request for Relief of Payment of Certain Withholding Taxes
4671,Publ 4671: VITA Grant Program Overview and Application Instructions
4674,Publ 4674: Automatic Enrollment 401(k) Plans for Small Businesses
4680,Publ 4680: Volunteer Income Tax Assistance/Tax Counseling for the Elderly - Grant Programs
4681,"Publ 4681: Canceled Debts, Foreclosures, Repossessions, and Abandonments (For Individuals)"
4684,Form 4684: Casualties and Thefts
4687,Publ 4687: EITC Due Diligence
4693-A,Publ 4693-A: Partner Resource Guide
4704-FS,Publ 4704-FS: Foreign Student and Scholar Test
4716,Publ 4716: Be Prepared to get the Refundable Credits You Earned
4716 ,Publ 4716 : Be Prepared To Get The EITC You Earned
4717 ,Publ 4717 : Help your Tax Preparer get you the EITC you earned
4718,Publ 4718: Important Message from the IRS
4720,Form 4720: Return of Certain Excise Taxes Under Chapters 41 and 42 of the Internal Revenue Code
4721,Publ 4721: Adding Automatic Enrollment to Your 401(k) Plan
4731,Publ 4731: Screening Sheet for Volunteers Assisting Taxpayers with Form 1099-C
4731-A,Publ 4731-A: Screening Sheet for Foreclosures/Abandonments and Cancellation of Debt
4744-B,Publ 4744-B: IRS.gov/espanol Web Site Fact Sheet
4744-H,Publ 4744-H: IRS Multilingual Websites Fact Sheet
4750 ,Publ 4750 : Let's Talk - Haven't filed a Tax Return in a While - Poster
4756,Publ 4756: Foreign Student and Scholar Volunteer Tax Return Preparation
4757,Publ 4757: Individual Taxpayer Identification Number (ITIN)
4761,Publ 4761: Protecting Federal Tax Information: A Guide for Government Employees
4768,Form 4768: Application for Extension of Time To File a Return and/or Pay U.S. Estate (and Generation-Skipping Transfer) Taxes
4772,Publ 4772: American Opportunity Tax Credit Flyer
4772-A,Publ 4772-A: American Opportunity Tax Credit Poster
4779,Publ 4779: Facts about Terminating or Merging Your Exempt Organization
4782,Publ 4782: Federal Income Tax Withholding after Leaving the Military - Life Cycle
4797,Form 4797: Sales of Business Property
4799,Publ 4799: Probation Officers' Frequently Asked Questions
4801,"Publ 4801: Statistics of Income, Individual Income Tax Returns Line Item Estimates"
4806,Publ 4806: Profit-Sharing Plans for Small Business
4808,Form 4808: Computation of Credit for Gift Tax
4808,Publ 4808: Disability and EITC
4810,Form 4810: Request for Prompt Assessment Under Internal Revenue Code Section 6501(d)
4810,"Publ 4810: Specifications for Electronic Filing of Form 8955-SSA, Annual Registration Statement Identifying Separated Participants With Deferred Vested Benefits"
4812,Publ 4812: Contractor Security & Privacy Controls
4812-A,Publ 4812-A: Highlights of Publication 4812 Contractor Security Controls
4814,Publ 4814: Post-Employment Restrictions for Former IRS and Office of Chief Counsel Employees
4824,Publ 4824: TAS Outreach Card
4825,Publ 4825: Ten Things to Know About The Taxpayer Advocate Service and Seven Things to Know About Systemic Advocacy
4832,Publ 4832: Internal Revenue Service Return Preparer Review
4835,Form 4835: Farm Rental Income and Expenses
4836 ,Publ 4836 : VITA/TCE Free Tax Programs
4839,"Publ 4839: Annual Form 990 Filing Requirements for Tax-Exempt Organizations (Forms 990, 990-EZ, 990-PF and 990-N (e-Postcard))"
4849,Publ 4849: Can't Pay the Tax You Owe
4852,"Form 4852: Substitute for Form W-2, Wage and Tax Statement, or Form 1099-R, Distributions From Pensions, Annuities, Retirement or Profit-Sharing Plans, IRAs, Insurance Contracts, etc."
4852,Publ 4852: Talkpoints for Managers - Federal Employee Tax Compliance Responsibilities
4857,Publ 4857: Top W-7 Errors
4859 ,Publ 4859 : Understanding Your IRS ITIN Notice
4862,Publ 4862: Small Business Health Care Tax Credit Flyer
4868,Form 4868: Application for Automatic Extension of Time to File U.S. Individual Income Tax Return
487,Publ 487: How to Prepare Application to Release Property Secured by Federal Tax Lien
4870,Publ 4870: FEAB Opportunities for Taxpayers
4876-A,Form 4876-A: Election to Be Treated as an Interest Charge DISC
4883,Publ 4883: Grant Programs Resource Guide for VITA Volunteer Income Tax Assistance and TCE Tax Counseling for the Elderly
4885,Publ 4885: Screening Sheet for Health Savings Accounts (HSA)
4900,Publ 4900: Heavy Highway Vehicle Use Tax
4902,Publ 4902: Tax Tips for the Cosmetology and Barber Industry
4921,Publ 4921: Tax Problems and Nowhere to Turn? Contact the Taxpayer Advocate Service
4924,"Publ 4924: ""Get Right With Your Taxes"" Facilitator's Guide"
4925,"Publ 4925: ""Get Right With Your Taxes"""
4929,Publ 4929: Withholding flyer
4932,Publ 4932: Gaming Industry Tip Compliance Agreement (GITCA)
4933,Publ 4933: Tax Preparers Guide to Everything Earned Income Tax Credit Online
4935,Publ 4935: Guide to Everything Earned Income Tax Credit for Individuals
4936,Publ 4936: Your Guide to Maintaining and Complying with GITCA
4938,Publ 4938: Federal Tax Return Preparers: What are the Requirements?
4940,Publ 4940: Tax Information for Active Duty Military and Reserve Personnel
4941,Publ 4941: Attention Truckers - No Dyed Fuel in Highway Vehicles
4942,Publ 4942: VITA/TCE Specialty Course - Health Savings Accounts (HSA)
4944,Publ 4944: Do You Know Your Options?
4952,Form 4952: Investment Interest Expense Deduction
4961,Publ 4961: VITA/TCE - Volunteer Standards of Conduct - Ethics Training
4962,"Publ 4962: Employee Benefit Plans: Explanation No. 2A, Minimum Vesting Standards, Defined Benefit Plans"
4964,"Publ 4964: Employee Benefit Plans: Explanation No. 5B, Permitted Disparity"
4965,"Publ 4965: Employee Benefit Plans: Explanation No. 5A, Coverage and Nondiscrimination Requirement, Defined Benefit Plans"
4967,Publ 4967: IRS Twitter Account Poster
4970,Form 4970: Tax on Accumulation Distribution of Trusts
4972,Form 4972: Tax on Lump-Sum Distributions
4974,Publ 4974: Facilitated Self-Assistance
4977,Form 4977: Schedule of Tax Liability
4982,Publ 4982: Tuition Statements Flyer
4985,Publ 4985: Gaming Industry Tip Compliance Agreement - for Tipped Employees
4990,Publ 4990: Tax Payment Instruction Booklet
4991,Publ 4991: Automatic Revocation of Tax-Exempt Status
5,Publ 5: Your Appeal Rights and How to Prepare a Protest if you Don't Agree
5005,Publ 5005: Your Responsibilities as a Conduit Issuer of Tax-Exempt Bonds
501,"Publ 501: Dependents, Standard Deduction, and Filing Information"
502,Publ 502: Medical and Dental Expenses
5022,Publ 5022: Fast Track Settlement - A Process for Prompt Resolution of Small Business Self Employed Tax Issues
5027,Publ 5027: Identity Theft Information for Taxpayers
503,Publ 503: Child and Dependent Care Expenses
5033,Publ 5033: IRS External Leads Program: Fact Sheet on Submitting Leads
5034 ,Publ 5034 : Need to Make a Payment
5035,Publ 5035: Statistics of Income Partnership Returns Line Item Estimates
5039,Publ 5039: Terms and Conditions of Registration for Form 637
504,Publ 504: Divorced or Separated Individuals
5041,Publ 5041: IRS Supplemental Instructions for the Treasury FMS Interagency Agreement (IAA) (Forms 7600 & 7600B)
5046,Publ 5046: Volunteer to Help Others Help Themselves
5047,Publ 5047: Facilitated Self Assistance for SPEC Partners
505,Publ 505: Tax Withholding and Estimated Tax
5055,Publ 5055: Free Tax Return Preparation - Dont want to wait
5059,Publ 5059: How to prepare a Collection Information Statement (Form 433-B)
5066,Publ 5066: Low Income Taxpayer Clinic Program Report
5066-A,Publ 5066-A: LITC Program Report Infographic
5067,"Publ 5067: Voluntary Classified Settlement Program (VCSP) ""At a Glance"""
5074,Form 5074: Allocation of Individual Income Tax to Guam or the Commonwealth of the Northern Mariana Islands (CNMI)
5074,Publ 5074: Protect Your Tax Refund (Poster)
5075,Publ 5075: EITC Awareness
5078,Publ 5078: Modernized e-File (MeF) Test Package
5080,Publ 5080: Form 4137 Compliance Program Frequently Asked Questions
5081,Publ 5081: Education Credits Online Resource Guide
5082,Publ 5082: What You Should Know About Chapter 13 Bankruptcy and Delinquent Tax Returns
5084,Publ 5084: IRS Congressional Update Newsletter
5085,Publ 5085: Child Related Benefits Chart
5087-FS,Publ 5087-FS: Foreign Student and Scholar Forms Package
5088,Publ 5088: Site Coordinator Training
5089,Publ 5089: Credit Unions - Using Volunteer Income Tax Assistance - VITA to serve the community
5089-A,Publ 5089-A: Financial Institutions - Using Volunteer Income Tax Assistance - VITA to serve the community
509,Publ 509: Tax Calendars
5090,Publ 5090: SPEC Marketing Product for Educational Institutions
5091,Publ 5091: Voluntary Compliance for Tax-Exempt and Tax-Credit Bonds
5092,Publ 5092: Fast Track Settlement A Process Resolution of Tax Exempt and Government Entities (TE/GE) Tax Issues
5093,Publ 5093: Healthcare Law Online Resources
51,"Publ 51: Circular A, Agricultural Employer's Tax Guide"
510,Publ 510: Excise Taxes
5101,Publ 5101: Intake/Interview and Quality Review Training
5102,Publ 5102: IRS Social Media - Equipping You
5107,Publ 5107: The IRS Collection Process -- Your Rights and Responsibilities
5108,Publ 5108: Statistics of Income - Corporation Income Tax Returns Line Item Estimates
5111,Publ 5111: Gaming Industry Tip Compliance Agreement (GITCA) Benefits to Participants
5112,Publ 5112: Tip Rate Determination Agreement (TRDA) Benefits to Participants
5115,Publ 5115: Municipal Agency Partnering Program
5116,Publ 5116: Municipal Government Digest
5117,Publ 5117: Tax Products QR Code Bookmark
5118,Publ 5118: Foreign Account Tax Compliance Act (FATCA) Online Registration User Guide
5120,Publ 5120: Facts About the Premium Tax Credit
5123,Publ 5123: Online Payment Agreement
5124,Publ 5124: FATCA XML User Guide
5125,Publ 5125: Large Business and Internal Examination Process
5129,"Form 5129: Questionnaire-Filing Status, Exemptions, and Standard Deduction"
5136,Publ 5136: IRS Services Guide
5136-A,Publ 5136-A: IRS Services for Individuals
5137,Publ 5137: Fringe Benefit Guide
5138,Publ 5138: Quick Reference Guide for Public Employers
5139,Publ 5139: Employee Benefit Plans - Explanation Number 14 - Section 436 Limitations Defined Benefit Plans
514,Publ 514: Foreign Tax Credit for Individuals
5140,Publ 5140: Job Aid: Partner Site & Return Reviews
5141,Publ 5141: QSS Site Review Job Aid: To be used with Form 6729
5144,Publ 5144: Federal Income Tax and FICA Withholding for Foreign Agricultural Workers with an H-2A Visa
5146,Publ 5146: Employment Tax Returns: Examinations and Appeal Rights
5147,Publ 5147: Foreign Account Tax Compliance Act (FATCA) Foreign Financial Institution (FFI) List Search and Download Tool
5149,Publ 5149: Making an Administrative Return of Property Claim Under Internal Revenue Code (IRC) Section 6343(d)
515,Publ 515: Withholding of Tax on Nonresident Aliens and Foreign Entities
5152,Publ 5152: Report changes to the Marketplace as they happen
5153,Publ 5153: Appeal Procedures - Adverse Determination Letter on Qualification of a Retirement Plan
5157-A,Publ 5157-A: VITA/TCE Affordable Care Act - Taxpayer Scenarios
516,Publ 516: U.S. Government Civilian Employees Stationed Abroad
5164,Publ 5164: Test Package for Electronic Filers of Affordable Care Act (ACA) Information Returns (AIR)
5164-A,Publ 5164-A: Test Package for Electronic Filers of Affordable Care Act (ACA) Information Returns (AIR)
5165,Publ 5165: Guide for Electronically Filing Affordable Care Act (ACA) Information Returns for Software Developers and Transmitters
5166,Publ 5166: IRS Volunteer Quality Site Requirements
5167,"Publ 5167: Federal, State and Local Governments Newsletter"
5169,Publ 5169: Taxpayer Bill of Rights
517,Publ 517: Social Security and Other Information for Members of the Clergy and Religious Workers
5170,Publ 5170: Taxpayer Bill of Rights (Brochure)
5171,Publ 5171: Return Review Job Aid
5172,Publ 5172: Facts about Health Coverage Exemptions
5176,Publ 5176: VITA/TCE Templates Thumbnail
5179,Publ 5179: BMF Online Payment Agreement Application Flyer
5181,"Publ 5181: Tax Return Reviews by Mail CP2000, Letter 2030, CP2501, Letter 2531"
5186,Publ 5186: Continuing Education (CE) Requirements Chart for Enrolled Agent Renewal
5187,Publ 5187: Affordable Care Act: What you and Your Family Need to Know
5188,Publ 5188: FATCA Metadata XML Schema User Guide
5189,Publ 5189: FATCA Reports International Compliance Management Model (ICMM) Notifications User Guide
519,Publ 519: U.S. Tax Guide for Aliens
5190,Publ 5190: Foreign Account Tax Compliance Act (FATCA) - International Data Exchange Services (IDES) User Guide
5192,Publ 5192: Ten Key Points for Communicating with People with Disabilities
5193,Publ 5193: Preparing your Federal Tax Return: Claiming and Reporting Health Coverage Exemptions (Flyer)
5195,Publ 5195: The Premium Tax Credit and Your Tax Return (Flyer)
5197,Publ 5197: Students and parents - Why Form 1098-T is important to you?
5198,Publ 5198: Are you or a family member attending college or taking courses to acquire or improve job skills?
5199,Publ 5199: Tax Preparer Guide to Identity Theft
5200,Publ 5200: Affordable Care Act: What employers need to know
5206,Publ 5206: Plain Writing Act Compliance Report
5208,Publ 5208: Affordable Care Act: Are you an applicable large employer?
5209,Publ 5209: Preparing your 2014 Return - the shared responsibility payment (Flyer)
5212,Publ 5212: Ten Great Reasons to Visit IRS.gov
5213,Form 5213: Election to Postpone Determination As To Whether the Presumption Applies That an Activity is Engaged in for Profit
5213,Publ 5213: IRS Health Insurance Provider Fee (IPF) Important Information for Fee Year
5216,Publ 5216: FATCA Reports International Compliance Management Model (ICMM) Notification XML Schema User Guide
5223,"Publ 5223: The purpose of Publication 5223, General Rules and Specifications for Affordable Care Act Substitute Forms 1095-A, 1094-B, 1095-B, 1094-C, and 1095-C, is to set forth the requirements for using offici"
5227,Form 5227: Split-Interest Trust Information Return
5227,Publ 5227: A Guide to the Annual Filing Season Program
523,Publ 523: Selling Your Home
5230,Publ 5230: Communicating Comfortably with Blind or Visually Impaired Persons
5231,Publ 5231: Key Points for Communicating with People who are Deaf and Hard of Hearing
524,Publ 524: Credit for the Elderly or the Disabled
5241,Publ 5241: Whistleblower Program Annual Report to Congress
5243 ,Publ 5243 : Health Care Law Reminder - Affordable Care Act Section 1502(c)
5244,Publ 5244: Social Media Toolkit
5245,Publ 5245: Tax Counseling for the Elderly (TCE) Program Terms and Conditions
5247,Publ 5247: Volunteer Income Tax Assistance (VITA) Terms and Conditions
5248,Publ 5248: IRS Form 990-N Electronic Filing System (e-Postcard) User Guide
525,Publ 525: Taxable and Nontaxable Income
5250,Publ 5250: How to Pay Taxes with Cash at a Retail Partner
5251,Publ 5251: The Whistleblower Claim Process and Timeline
5252,Publ 5252: eLevy Flyer
5256 ,Publ 5256 : You May Need to Renew Your Expiring ITIN
5257 ,Publ 5257 : You May Need to Renew Your Expiring ITIN
5258,Publ 5258: Affordable Care Act (ACA) Information Returns (AIR) Submission Composition and Reference Guide
5259 ,Publ 5259 : Fact Sheet - Expiring ITINs
526,Publ 526: Charitable Contributions
5261,Publ 5261: ITIN Outreach Products
5262,"Publ 5262: Qualified Intermediary, Withholding Foreign Partnership, and Withholding Foreign Trust Application and Account Management"
5264,Publ 5264: Your Exam Rights ? The IRS 8300 Examination Process
527,Publ 527: Residential Rental Property (Including Rental of Vacation Homes)
5271,Publ 5271: Complying With Arbitrage Requirements: A Guide for Issuers of Tax-Exempt Bonds
5273,Publ 5273: Take Steps Now for Tax Filing Season
5274,Publ 5274: Free File Fillable Forms User's Guide
5275,Publ 5275: EITC - Earned Income Tax Credit
5279,Publ 5279: Your Pathway to Becoming an Enrolled Agent Starts Here
5286,Publ 5286: National Taxpayer Advocate Purple Book: Compilation of Legislative Recommendations to Strengthen Taxpayer Rights and Improve Tax Administration
529,Publ 529: Miscellaneous Deductions
5293,Publ 5293: Protect Your Clients Protect Yourself - Data Security Resource Guide for Tax Professionals
5294 ,Publ 5294 : Protect Your Clients Protect yourself
5296,Publ 5296: Comprehensive Taxpayer Attitude Survey (CTAS) 2018 Executive Report
5299,Publ 5299: VITA/TCE Quality Review Refresher
530,Publ 530: Tax Information for Homeowners
5300,Form 5300: Application for Determination for Employee Benefit Plan
5300,Publ 5300: Transfer Pricing Examination Process
5301,Publ 5301: Electronic Federal Tax Payment System - Batch Provider Software User Manual
5303,Publ 5303: Paycheck Checkup
5304-SIMPLE,Form 5304-SIMPLE: Savings Incentive Match Plan for Employees of Small Employers (SIMPLE) - Not for Use With a Designated Financial Institution
5305,Form 5305: Traditional Individual Retirement Trust Account
5305-A,Form 5305-A: Traditional Individual Retirement Custodial Account
5305-A-SEP,Form 5305-A-SEP: Salary Reduction and Other Elective Simplified Employee Pension - Individual Retirement Accounts Contribution Agreement
5305-B,Form 5305-B: Health Savings Trust Account
5305-C,Form 5305-C: Health Savings Custodial Account
5305-E,Form 5305-E: Coverdell Education Savings Trust Account (Under section 530 of the Internal Revenue Code)
5305-EA,Form 5305-EA: Coverdell Education Savings Custodial Account (Under section 530 of the Internal Revenue Code)
5305-R,Form 5305-R: Roth Individual Retirement Trust Account
5305-RA,Form 5305-RA: Roth Individual Retirement Custodial Account
5305-RB,Form 5305-RB: Roth Individual Retirement Annuity Endorsement
5305-S,Form 5305-S: SIMPLE Individual Retirement Trust Account
5305-SA,Form 5305-SA: SIMPLE Individual Retirement Custodial Account
5305-SEP,Form 5305-SEP: Simplified Employee Pension - Individual Retirement Accounts Contribution Agreement
5305-SIMPLE,Form 5305-SIMPLE: Savings Incentive Match Plan for Employees of Small Employers (SIMPLE) - for Use With a Designated Financial Institution
5306,Form 5306: Application for Approval of Prototype or Employer Sponsored Individual Retirement Arrangement (IRA)
5306-A,Form 5306-A: Application for Approval of Prototype Simplified Employee Pension (SEP) or Savings Incentive Match Plan for Employees of Small Employers (SIMPLE IRA Plan)
5307,Form 5307: Application for Determination for Adopters of Modified Volume Submitter Plans (Info Copy Only)
5307,Publ 5307: Tax Reform: Basics for Individuals and Families
5308,Form 5308: Request for Change in Plan/Trust Year
5308,Publ 5308: Automated Enrollment for ACA Providers the Externals Guide
5309,Form 5309: Application for Determination of Employee Stock Ownership Plan
531,Publ 531: Reporting Tip Income
5310,Form 5310: Application for Determination Upon Termination (Info Copy Only)
5310,Publ 5310: VITA/TCE Tax Return Quality Review Job Aid
5310-A,"Form 5310-A: Notice of Plan Merger or Consolidation, Spinoff, or Transfer of Plan Assets or Liabilities; Notice of Qualified Separate Lines of Business"
5313,Publ 5313: Tax Exempt & Government Entities (TE/GE) Program Letter
5315,Publ 5315: Information Reporting Advisory Committee Public Report
5316,Form 5316: Application for Group or Pooled Trust Ruling
5316,Publ 5316: Internal Revenue Service Advisory Council Public Report
5318,Publ 5318: Tax Reform What's New for Your Business
5319,Publ 5319: LB&I Focus Guide
5322,Publ 5322: Fact Sheet Assisting Veterans with Lump-Sum Disability Severance Pay Refunds
5323,Publ 5323: Fact Sheet for SPEC Partners and Employees - Quality and Oversight Updates
5324,Publ 5324: Fact Sheet for Partners and Employees - Quality Site Requirements for Alternative Filing Models
5325,Publ 5325: Fact Sheet for SPEC Partners and Employees - Volunteer Training for Filing Season
5327,Publ 5327: New Tax Credit for Employers Who Provide Paid Family and Medical Leave
5328,Publ 5328: Statement of Administrative and Constitutional Rights
5329,Form 5329: Additional Taxes on Qualified Plans (Including IRAs) and Other Tax-Favored Accounts
